No,b,h,t,L,fy,fc,N,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
434,147.7,147.7,4.31,2550,245.54,39,1175,,,,,
435,148,148,6.92,2550,292.31,35.4,1600,,,,,
436,148,148,6.92,2550,292.31,35.4,1740,,,,,
437,100,180,5.8,540,300,74.7,2059,,,,,
438,100,180,5.8,540,300,74.7,2019,,,,,
439,100,180,5.8,540,300,92,2287,,,,,
440,100,180,5.8,540,300,92,2291,,,,,
441,100,180,5.8,450,300,56,1815,,,,,
442,100,180,5.8,450,300,56,1763,,,,,
443,100,180,5.8,540,300,56,1725,,,,,
444,100,180,5.8,540,300,56,1742,,,,,
445,100,180,5.8,480,300,56,1947,,,,,
446,100,180,5.8,480,300,56,1912,,,,,
447,100,180,5.8,570,300,56,2035,,,,,
448,100,180,5.8,570,300,56,2138,,,,,
449,80.1,120.7,4.18,360,550,56.6,1450,,,,,
450,80.6,119.3,4.18,360,550,56.6,1425,,,,,
451,80.6,119.6,4.18,360,550,65.7,1560,,,,,
452,80.6,120.5,4.18,360,550,65.7,1700,,,,,
453,121.5,179.7,4.18,540,550,56.6,2530,,,,,
454,119.8,180.4,4.18,540,550,65.7,2970,,,,,
455,121.3,179.2,4.18,540,550,65.7,2590,,,,,
456,81.4,160.2,4.18,480,550,56.6,1710,,,,,
457,80.5,160.7,4.18,480,550,56.6,1820,,,,,
458,81,160.1,4.18,480,550,65.7,1880,,,,,
459,80.1,160.6,4.18,480,550,65.7,2100,,,,,
460,101.2,199.8,4.18,600,550,56.6,2350,,,,,
461,98.9,200.2,4.18,600,550,56.6,2380,,,,,
462,102.1,199.2,4.18,600,550,65.7,2900,,,,,
463,99.6,199.8,4.18,600,550,65.7,2800,,,,,
464,100,150,4,450,495,58.4,1735,,,,,
465,100,150,4,450,495,58.4,1778,,,,,
466,90,180,4,540,495,58.4,1773,,,,,
467,90,180,4,540,495,58.4,1795,,,,,
468,110,160,4,480,495,58.4,1982,,,,,
469,110,160,4,480,495,58.4,1923,,,,,
470,100,190,4,570,495,58.4,2049,,,,,
471,100,190,4,570,495,58.4,2124,,,,,
472,90,130,4,390,495,77.6,1752,,,,,
473,90,130,4,390,495,77.6,1806,,,,,
474,80,160,4,480,495,77.6,1878,,,,,
475,80,160,4,480,495,77.6,1858,,,,,
476,101.5,162.9,2,480,305.1,49.4,1068,,,,,
477,100.3,163.9,1.99,480,305.1,49.4,1080,,,,,
